Country,Code,Continent,Region
Afghanistan,AFG,Asia,Southern Asia
Åland Islands,ALA,Europe,Northern Europe
Albania,ALB,Europe,Southern Europe
Algeria,DZA,Africa,Northern Africa
American Samoa,ASM,Oceania,Polynesia
Andorra,AND,Europe,Southern Europe
Angola,AGO,Africa,Middle Africa
Anguilla,AIA,Americas,Caribbean
Antarctica,ATA,Antarctica,Antarctica
Antigua and Barbuda,ATG,Americas,Caribbean
Argentina,ARG,Americas,South America
Armenia,ARM,Asia,Western Asia
Aruba,ABW,Americas,Caribbean
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Western Europe
Azerbaijan,AZE,Asia,Western Asia
Bahamas,BHS,Americas,Caribbean
Bahrain,BHR,Asia,Western Asia
Bangladesh,BGD,Asia,Southern Asia
Barbados,BDS,Americas,Caribbean
Belarus,BLR,Europe,Eastern Europe
Belgium,BEL,Europe,Western Europe
Belize,BLZ,Americas,Central America
Benin,BEN,Africa,Western Africa
Bermuda,BMU,Americas,Northern America
Bhutan,BTN,Asia,Southern Asia
Bolivia (Plurinational State of),,Americas,South America
"Bonaire, Sint Eustatius and Saba [Caribbean Netherlands]",,Americas,Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe
Botswana,BWA,Africa,Southern Africa
Bouvet Island,BVT,Americas,South America
Brazil,BRA,Americas,South America
British Indian Ocean Territory,IOT,Africa,Eastern Africa
British Virgin Islands,,Americas,Caribbean
Brunei Darussalam,BRN,Asia,South-eastern Asia
Bulgaria,BGR,Europe,Eastern Europe
Burkina Faso,BFA,Africa,Western Africa
Burundi,BDI,Africa,Eastern Africa
Cabo Verde [Cape Verde],,Africa,Western Africa
Cambodia,KHM,Asia,South-eastern Asia
Cameroon,CMR,Africa,Middle Africa
Canada,CDN,Americas,Northern America
Cayman Islands,CYM,Americas,Caribbean
Central African Republic,RCA,Africa,Middle Africa
Chad,TCD,Africa,Middle Africa
Chile,RCH,Americas,South America
China,CHN,Asia,Eastern Asia
"China, Hong Kong Special Administrative Region",,Asia,Eastern Asia
"China, Macao Special Administrative Region",,Asia,Eastern Asia
Christmas Island,CXR,Oceania,Australia and New Zealand
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand
Colombia,COL,Americas,South America
Comoros,COM,Africa,Eastern Africa
Congo [Republic of the Congo],,Africa,Middle Africa
Cook Islands,COK,Oceania,Polynesia
Costa Rica,CRI,Americas,Central America
Croatia,HRV,Europe,Southern Europe
Cuba,CUB,Americas,Caribbean
Curaçao,CUW,Americas,Caribbean
Cyprus,CYP,Asia,Western Asia
Czechia [Czech Republic],,Europe,Eastern Europe
Côte d'Ivoire [Ivory Coast],,Africa,Western Africa
Democratic People's Republic of Korea [North Korea],,Asia,Eastern Asia
Democratic Republic of the Congo [DR Congo],,Africa,Middle Africa
Denmark,DNK,Europe,Northern Europe
Djibouti,DJI,Africa,Eastern Africa
Dominica,DMA,Americas,Caribbean
Dominican Republic,DOM,Americas,Caribbean
Ecuador,ECU,Americas,South America
Egypt,EGY,Africa,Northern Africa
El Salvador,SLV,Americas,Central America
Equatorial Guinea,GNQ,Africa,Middle Africa
Eritrea,ERI,Africa,Eastern Africa
Estonia,EST,Europe,Northern Europe
Eswatini [Swaziland],,Africa,Southern Africa
Ethiopia,ETH,Africa,Eastern Africa
Falkland Islands (Malvinas),FLK,Americas,South America
Faroe Islands,FRO,Europe,Northern Europe
Fiji,FJI,Oceania,Melanesia
Finland,FIN,Europe,Northern Europe
France,FRA,Europe,Western Europe
French Guiana,GUF,Americas,South America
French Polynesia,PYF,Oceania,Polynesia
French Southern Territories,ATF,Africa,Eastern Africa
Gabon,GAB,Africa,Middle Africa
Gambia,WAG,Africa,Western Africa
Georgia,GEO,Asia,Western Asia
Germany,DEU,Europe,Western Europe
Ghana,GHA,Africa,Western Africa
Gibraltar,GBZ,Europe,Southern Europe
Greece,GRC,Europe,Southern Europe
Greenland,GRL,Americas,Northern America
Grenada,GRD,Americas,Caribbean
Guadeloupe,GLP,Americas,Caribbean
Guam,GUM,Oceania,Micronesia
Guatemala,GCA,Americas,Central America
Guernsey,GBG,Europe,Northern Europe
Guinea,GIN,Africa,Western Africa
Guinea-Bissau,GNB,Africa,Western Africa
Guyana,GUY,Americas,South America
Haiti,HTI,Americas,Caribbean
Heard Island and McDonald Islands,HMD,Oceania,Australia and New Zealand
Holy See,VAT,Europe,Southern Europe
Honduras,HND,Americas,Central America
Hungary,HUN,Europe,Eastern Europe
Iceland,ISL,Europe,Northern Europe
India,IND,Asia,Southern Asia
Indonesia,IDN,Asia,South-eastern Asia
Iran (Islamic Republic of),,Asia,Southern Asia
Iraq,IRQ,Asia,Western Asia
Ireland,IRL,Europe,Northern Europe
Isle of Man,GBM,Europe,Northern Europe
Israel,ISR,Asia,Western Asia
Italy,ITA,Europe,Southern Europe
Jamaica,JAM,Americas,Caribbean
Japan,JPN,Asia,Eastern Asia
